tif_name_comptroller_file_name,tif_name_clerk,tif_name_comptroller_report,tif_name_ctu,tif_num_ctu,len_x,Unnamed: 0,tif_num_chi,unallocated_funds_2026,unallocated_funds_2025,unallocated_funds_2024,len_y
105th_Vincennes_1,105TH ST/VINCENNES A,105th/Vincennes,105th Vincennes,T-111,5,0.0,T-111,0.0,529447.0,9589981.0,5.0
107th_Halsted_1,107TH/HALSTED,107th/Halsted,107th Halsted,T-176,5,1.0,T-176,4794686.0,3589458.0,1248280.0,5.0
111th_StrDistrict_1,111TH ST/KEDZIE AVE,111th/Kedzie,111th Kedzie,T-073,5,2.0,T-073,2563595.0,1019884.0,2249824.0,4.0
116th_Avenue_O_1,116TH/AVENUE O,116th/Avenue O,116th Ave O,T-182,5,3.0,T-182,1740085.0,729217.0,7612039.0,5.0
119th_and_Halsted_1,119TH ST/HALSTED ST,119th/Halsted,119th Halsted,T-114,5,4.0,T-114,1395033.0,1812460.0,4838968.0,5.0
119th_I-57_1,119TH ST/I-57,119th/I-57,119th I57,T-125,5,5.0,T-125,887352.0,1535206.0,9684006.0,5.0
24th_Michn_Avenue_1,24TH ST/MICHIGAN AVE,24th/Michigan,24th Michigan,T-072,5,6.0,T-072,4580639.0,4529289.0,14356513.0,4.0
26th_and_ng_Drive_1,26TH ST/KING DR,26th/King Drive,26th King,T-141,5,7.0,T-141,8975819.0,8060743.0,7145204.0,5.0
35th_Halsted_1,35TH ST/HALSTED ST,35th/Halsted,35th Halsted,T-001,5,8.0,T-001,3807410.0,4002981.0,21597724.0,3.0
35th_State_1,35TH ST/STATE ST,35th/State,35th State,T-131,5,9.0,T-131,9796008.0,7913982.0,6019818.0,5.0
43rd_Cottove_Ave._1,43RD ST/COTTAGE GROV,43rd/Cottage Grove,43rd Cottage Grove,T-055,5,10.0,T-055,4783178.0,9499841.0,9011560.0,4.0
47th_Ashland_1,47TH ST/ASHLAND AVE,47th/Ashland,47th Ashland,T-117,5,11.0,T-117,2755109.0,4268686.0,8201590.0,5.0
47th_Halsted_1,47TH ST/HALSTED ST,47th/Halsted,47th Halsted,T-121,5,12.0,T-121,1865372.0,1820731.0,10744554.0,5.0
